Street,Avenue,Lat,Lon
46,1,40.751368,-73.967959
46,2,40.752379,-73.970341
46,3,40.753327,-73.972591
46,4,40.754684,-73.975812
46,5,40.756037,-73.979023
46,6,40.75739,-73.982254
46,7,40.758597,-73.985079
46,8,40.759787,-73.987928
46,9,40.760987,-73.990767
46,10,40.762185,-73.993607
46,11,40.763367,-73.996437
46,12,40.764287,-73.998607
47,-3,,
47,-2,,
47,-1,,
47,0,,
47,1,40.751937,-73.967564
47,2,40.752989,-73.969897
47,3,40.753951,-73.97214
47,4,40.755312,-73.975354
47,5,40.756659,-73.978557
47,6,40.758016,-73.981797
47,7,40.759223,-73.984619
47,8,40.760409,-73.987475
47,9,40.761605,-73.990316
47,10,40.762803,-73.993156
47,11,40.763992,-73.995981
47,12,40.764874,-73.998048
48,-3,,
48,-2,,
48,-1,,
48,0,,
48,1,40.752452,-73.967153
48,2,40.753624,-73.969431
48,3,40.754573,-73.971683
48,4,40.755941,-73.974896
48,5,40.757283,-73.978111
48,6,40.758645,-73.981341
48,7,40.759841,-73.984174
48,8,40.761037,-73.987018
48,9,40.762233,-73.989859
48,10,40.763428,-73.992701
48,11,40.764618,-73.995522
48,12,40.765541,-73.997696
49,-3,,
49,-2,,
49,-1,,
49,0,,
49,1,40.753255,-73.966612
49,2,40.754251,-73.968978
49,3,40.7552,-73.971224
49,4,40.756563,-73.974442
49,5,40.75791,-73.977662
49,6,40.759274,-73.980883
49,7,40.760463,-73.983706
49,8,40.761668,-73.986566
49,9,40.762862,-73.989402
49,10,40.764057,-73.992242
49,11,40.76525,-73.995066
49,12,40.766164,-73.997242
50,-3,,
50,-2,,
50,-1,,
50,0,,
50,1,40.753865,-73.966136
50,2,40.754877,-73.96852
50,3,40.75583,-73.970767
50,4,40.757182,-73.97399
50,5,40.758544,-73.977206
50,6,40.759911,-73.980418
50,7,40.761095,-73.98325
50,8,40.762294,-73.986101
50,9,40.76349,-73.988943
50,10,40.764686,-73.991785
50,11,40.765878,-73.994606
50,12,40.766791,-73.996786
51,-3,,
51,-2,,
51,-1,,
51,0,,
51,1,40.754498,-73.965694
51,2,40.755504,-73.968065
51,3,40.756452,-73.970311
51,4,40.757816,-73.973527
51,5,40.759176,-73.976741
51,6,40.760525,-73.979972
51,7,40.761719,-73.982807
51,8,40.762916,-73.985648
51,9,40.764112,-73.98849
51,10,40.765309,-73.991329
51,11,40.766498,-73.994156
51,12,40.767416,-73.996327
52,-3,,
52,-2,,
52,-1,,
52,0,,
52,1,40.755131,-73.965232
52,2,40.756146,-73.967618
52,3,40.757096,-73.969845
52,4,40.758448,-73.973068
52,5,40.759799,-73.976289
52,6,40.761156,-73.979513
52,7,40.762348,-73.982347
52,8,40.763557,-73.985194
52,9,40.764753,-73.988023
52,10,40.765945,-73.990855
52,11,40.767131,-73.993687
52,12,40.768057,-73.995863
53,-3,,
53,-2,,
53,-1,,
53,0,,
53,1,40.755761,-73.964773
53,2,40.756763,-73.967166
53,3,40.757704,-73.969398
53,4,40.759062,-73.972618
53,5,40.760408,-73.975844
53,6,40.761774,-73.979063
53,7,40.762965,-73.981898
53,8,40.76416,-73.984741
53,9,40.765366,-73.987575
53,10,40.766548,-73.990425
53,11,40.767752,-73.993238
53,12,,
54,-3,,
54,-2,,
54,-1,,
54,0,,
54,1,40.756389,-73.964315
54,2,40.757381,-73.966702
54,3,40.758338,-73.96894
54,4,40.759692,-73.97216
54,5,40.761047,-73.975381
54,6,40.762399,-73.978609
54,7,40.763595,-73.981433
54,8,40.764798,-73.984269
54,9,40.765994,-73.987125
54,10,40.767183,-73.989962
54,11,40.76837,-73.992786
54,12,40.769325,-73.994943
55,-3,,
55,-2,,
55,-1,,
55,0,,
55,1,40.757021,-73.963857
55,2,40.758029,-73.966248
55,3,40.75896,-73.968491
55,4,40.760326,-73.971699
55,5,40.761676,-73.974927
55,6,40.763042,-73.978141
55,7,40.764233,-73.980972
55,8,40.76544,-73.983821
55,9,40.766637,-73.986668
55,10,40.767826,-73.989495
55,11,40.769017,-73.992322
55,12,40.769984,-73.994654
56,-3,,
56,-2,,
56,-1,,
56,0,,
56,1,40.757637,-73.963409
56,2,40.758647,-73.965796
56,3,40.759578,-73.968006
56,4,40.760946,-73.971246
56,5,40.76229,-73.974472
56,6,40.763649,-73.977693
56,7,40.764839,-73.980531
56,8,40.766032,-73.983377
56,9,40.767247,-73.986207
56,10,40.768445,-73.989049
56,11,40.769634,-73.991884
56,12,40.770709,-73.994437
57,-3,,
57,-2,,
57,-1,,
57,0,,
57,1,40.758313,-73.962922
57,2,40.759317,-73.965308
57,3,40.760249,-73.967515
57,4,40.761615,-73.97076
57,5,40.762972,-73.973974
57,6,40.764324,-73.977196
57,7,40.765521,-73.980036
57,8,40.766716,-73.982873
57,9,40.767916,-73.985718
57,10,40.769118,-73.988561
57,11,40.770317,-73.991393
57,12,40.771382,-73.993889
58,-3,,
58,-2,,
58,-1,,
58,0,,
58,1,40.758987,-73.962429
58,2,40.759992,-73.964803
58,3,40.76094,-73.967038
58,4,40.76229,-73.970263
58,5,40.763654,-73.973483
58,6,40.765004,-73.976705
58,7,40.766213,-73.979532
58,8,40.7674,-73.982364
58,9,40.768598,-73.98522
58,10,40.769786,-73.988056
58,11,40.770987,-73.990912
58,12,40.772148,-73.993661
59,-3,,
59,-2,,
59,-1,,
59,0,,
59,1,40.759623,-73.961955
59,2,40.760621,-73.964356
59,3,40.761562,-73.966589
59,4,40.762909,-73.969814
59,5,40.764275,-73.973029
59,6,40.76568,-73.976244
59,7,40.766876,-73.979076
59,8,,
59,9,40.769231,-73.984769
59,10,40.770404,-73.987595
59,11,40.771613,-73.990451
59,12,40.772874,-73.993429
60,-3,,
60,-2,,
60,-1,,
60,0,,
60,1,40.760252,-73.961501
60,2,40.76124,-73.963902
60,3,40.762195,-73.966128
60,4,40.763547,-73.969349
60,5,40.764919,-73.972556
60,6,,
60,7,,
60,8,,
60,9,,
60,10,40.771047,-73.987124
60,11,40.77224,-73.989996
60,12,,
61,-3,,
61,-2,,
61,-1,,
61,0,,
61,1,40.760864,-73.961064
61,2,40.761867,-73.963438
61,3,40.762808,-73.965666
61,4,40.764169,-73.968896
61,5,40.765526,-73.972117
61,6,,
61,7,,
61,8,40.769296,-73.981059
61,9,,
61,10,40.771661,-73.986677
61,11,40.772863,-73.98954
61,12,,
62,-3,,
62,-2,,
62,-1,,
62,0,,
62,1,40.761489,-73.960589
62,2,40.762498,-73.962983
62,3,40.763432,-73.965214
62,4,40.764796,-73.96844
62,5,40.766145,-73.971652
62,6,,
62,7,,
62,8,40.769918,-73.980584
62,9,,
62,10,40.772281,-73.986224
62,11,40.773489,-73.989081
62,12,,
63,-3,,
63,-2,,
63,-1,,
63,0,,
63,1,40.762118,-73.96013
63,2,40.763113,-73.962515
63,3,40.764057,-73.964756
63,4,40.765422,-73.967981
63,5,40.766767,-73.971189
63,6,,
63,7,,
63,8,40.770536,-73.980117
63,9,,
63,10,,
63,11,40.774119,-73.988625
63,12,,
64,-3,,
64,-2,,
64,-1,,
64,0,,
64,1,40.76274,-73.959695
64,2,40.763738,-73.962062
64,3,40.764682,-73.964299
64,4,40.766049,-73.967524
64,5,40.767394,-73.970728
64,6,,
64,7,,
64,8,40.771161,-73.979659
64,9,,
64,10,40.773531,-73.985318
64,11,40.774743,-73.98817
64,12,,
65,-3,,
65,-2,,
65,-1,,
65,0,,
65,1,40.763369,-73.959237
65,2,40.764367,-73.961607
65,3,40.765309,-73.963843
65,4,40.766678,-73.967063
65,5,40.768028,-73.970279
65,6,,
65,7,,
65,8,40.771785,-73.979202
65,9,,
65,10,40.774164,-73.984852
65,11,40.775373,-73.987714
65,12,,
66,-3,,
66,-2,,
66,-1,,
66,0,,
66,1,40.763993,-73.958769
66,2,40.764944,-73.961179
66,3,40.765891,-73.963418
66,4,40.767299,-73.966612
66,5,40.76865,-73.969822
66,6,,
66,7,,
66,8,40.772421,-73.978739
66,9,,
66,10,40.774801,-73.984389
66,11,40.776024,-73.98724
66,12,,
67,-3,,
67,-2,,
67,-1,,
67,0,,
67,1,40.764615,-73.9583
67,2,40.765613,-73.960692
67,3,40.766557,-73.96293
67,4,40.767926,-73.966155
67,5,40.769276,-73.969362
67,6,,
67,7,,
67,8,40.773039,-73.978289
67,9,,
67,10,40.775412,-73.983942
67,11,,
67,12,,
68,-3,,
68,-2,,
68,-1,,
68,0,,
68,1,40.765236,-73.957843
68,2,40.766242,-73.960228
68,3,40.767188,-73.962472
68,4,40.768549,-73.965698
68,5,40.769901,-73.968904
68,6,,
68,7,,
68,8,40.773659,-73.977835
68,9,,
68,10,40.77604,-73.983486
68,11,,
68,12,,
69,-3,,
69,-2,,
69,-1,,
69,0,,
69,1,40.765867,-73.9574
69,2,40.766872,-73.959783
69,3,40.767813,-73.962016
69,4,40.769174,-73.965244
69,5,40.770525,-73.968451
69,6,,
69,7,,
69,8,40.774293,-73.977374
69,9,,
69,10,40.776653,-73.98304
69,11,40.777792,-73.985948
69,12,,
70,-3,,
70,-2,,
70,-1,,
70,0,,
70,1,40.766488,-73.956944
70,2,40.767501,-73.95934
70,3,40.768442,-73.961575
70,4,40.769797,-73.964787
70,5,40.771147,-73.967994
70,6,,
70,7,,
70,8,40.77492,-73.97692
70,9,,
70,10,40.777289,-73.982569
70,11,40.778477,-73.985445
70,12,,
71,-3,,
71,-2,,
71,-1,,
71,0,,
71,1,40.767131,-73.956482
71,2,40.768138,-73.958876
71,3,40.769078,-73.961107
71,4,40.77043,-73.96431
71,5,40.771784,-73.967529
71,6,,
71,7,,
71,8,40.775543,-73.976463
71,9,,
71,10,40.777912,-73.982096
71,11,40.779126,-73.984975
71,12,,
72,-3,,
72,-2,,
72,-1,,
72,0,,
72,1,40.767804,-73.955999
72,2,40.768812,-73.958384
72,3,40.769747,-73.960604
72,4,40.771106,-73.96382
72,5,40.772455,-73.967033
72,6,,
72,7,,
72,8,40.776227,-73.975963
72,9,,
72,10,40.778601,-73.98161
72,11,40.779813,-73.984481
72,12,,
73,-3,,
73,-2,,
73,-1,,
73,0,,
73,1,40.768485,-73.955502
73,2,40.76949,-73.957862
73,3,40.770434,-73.960103
73,4,40.771795,-73.963333
73,5,40.773139,-73.966533
73,6,,
73,7,,
73,8,40.776903,-73.975471
73,9,,
73,10,40.779284,-73.981116
73,11,40.780495,-73.983984
73,12,,
74,-3,,
74,-2,,
74,-1,,
74,0,,
74,1,40.76912,-73.955039
74,2,40.770117,-73.9574
74,3,40.771066,-73.959651
74,4,40.772424,-73.96287
74,5,40.773775,-73.966069
74,6,,
74,7,,
74,8,40.777542,-73.974999
74,9,,
74,10,40.779921,-73.980659
74,11,40.781129,-73.983523
74,12,,
75,-3,,
75,-2,,
75,-1,,
75,0,,
75,1,40.769767,-73.954566
75,2,40.770762,-73.956934
75,3,40.771704,-73.959176
75,4,40.773061,-73.962408
75,5,40.774406,-73.965608
75,6,,
75,7,,
75,8,40.778174,-73.974542
75,9,,
75,10,40.780561,-73.98021
75,11,40.781765,-73.983056
75,12,,
76,-3,,
76,-2,,
76,-1,,
76,0,,
76,1,40.770391,-73.95411
76,2,40.771406,-73.956491
76,3,40.772339,-73.958713
76,4,40.773698,-73.961944
76,5,40.775044,-73.965142
76,6,,
76,7,,
76,8,40.778813,-73.97408
76,9,,
76,10,40.781185,-73.979755
76,11,40.782401,-73.982596
76,12,,
77,-3,,
77,-2,,
77,-1,,
77,0,,
77,1,40.771031,-73.953634
77,2,40.772039,-73.956027
77,3,40.77298,-73.958257
77,4,40.77434,-73.961475
77,5,40.775685,-73.964674
77,6,,
77,7,,
