Street,Avenue,Lat,Lon
57,9,40.7679312,-73.9857243
57,10,40.7691193,-73.9885587
57,11,40.770312,-73.9913902
57,12,40.7715333,-73.9942127
58,1,40.758978,-73.9624468
58,2,40.7599773,-73.964801
58,3,40.760939,-73.9670508
58,4,40.7623192,-73.9703398
58,5,40.7636538,-73.973465
58,6,40.7650083,-73.9767175
58,7,40.7662157,-73.9795496
58,8,40.7674117,-73.9823896
58,9,40.7685898,-73.985226
58,10,40.7697985,-73.9880718
58,11,40.770987,-73.9909029
58,12,40.7721579,-73.9936575
59,1,40.7596197,-73.9619668
59,2,40.7606092,-73.9643278
59,3,40.7615555,-73.9665923
59,4,40.7629496,-73.9698785
59,5,40.7642919,-73.9730203
59,6,40.7656852,-73.9762334
59,7,40.7668893,-73.9790653
59,9,40.7692123,-73.9847724
59,10,40.7704272,-73.9876306
59,11,40.7716296,-73.9904692
59,12,40.7727825,-73.9932029
60,1,40.7602427,-73.9615112
60,2,40.7612335,-73.9638861
60,3,40.7621897,-73.9661316
60,4,40.7634977,-73.9692303
60,5,40.7649102,-73.9725559
60,10,40.7710569,-73.9871465
60,11,40.772243,-73.9900062
61,8,40.7692978,-73.9810471
61,10,40.7716714,-73.9866972
61,11,40.7728739,-73.9895672
62,1,40.7614857,-73.9606064
62,2,40.7624844,-73.9629638
62,3,40.7634475,-73.9652211
62,4,40.7648211,-73.9685159
62,5,40.7661414,-73.9716331
62,8,40.7699702,-73.9805375
62,10,40.7723021,-73.9862412
62,11,40.77349,-73.989084
63,1,40.7621199,-73.960128
63,2,40.7631038,-73.9625033
63,3,40.7640692,-73.9647769
63,4,40.7653736,-73.9678737
63,5,40.7667574,-73.9711741
63,8,40.7705407,-73.980117
63,11,40.7741217,-73.9886283
64,1,40.76274,-73.9596843
64,2,40.7637234,-73.9620604
64,3,40.7646896,-73.9643068
64,4,40.7660791,-73.9676253
64,5,40.767394,-73.9707254
64,8,40.7711615,-73.9796631
64,10,40.7735391,-73.9853266
64,11,40.7747551,-73.9881991
65,1,40.763368,-73.95924
65,2,40.7643734,-73.9616091
65,3,40.7653068,-73.9638425
65,4,40.7667171,-73.9671748
65,5,40.768023,-73.9702744
65,8,40.7717916,-73.9792078
65,10,40.7741641,-73.9848426
65,11,40.7753849,-73.9877263
66,1,40.7639932,-73.9587835
66,2,40.7649008,-73.9612347
66,3,40.7658311,-73.9634675
66,4,40.7673286,-73.966702
66,5,40.768646,-73.9698114
66,8,40.7724388,-73.978741
66,10,40.7748211,-73.9844208
66,11,40.7760314,-73.9872557
67,1,40.764625,-73.9583262
67,2,40.7656018,-73.9606901
67,3,40.7665612,-73.9629317
67,4,40.7678909,-73.9660729
67,5,40.7692658,-73.9693446
67,8,40.7730268,-73.9783063
67,10,40.77543,-73.983971
68,1,40.7652451,-73.9578611
68,2,40.7662476,-73.9602479
68,3,40.7671906,-73.9624799
68,4,40.7685035,-73.9655976
68,5,40.7698971,-73.968887
68,8,40.7736786,-73.9778289
68,10,40.776058,-73.983505
69,1,40.765874,-73.9573957
69,2,40.7668723,-73.9598134
69,3,40.767812,-73.962014
69,4,40.7692084,-73.9653466
69,5,40.770517,-73.968441
69,8,40.7742987,-73.9773788
69,10,40.776683,-73.983047
70,1,40.7664912,-73.9569688
70,2,40.7675122,-73.9593709
70,3,40.7684404,-73.9615733
70,4,40.7697556,-73.9646861
70,5,40.7711406,-73.967977
70,8,40.774909,-73.976912
70,10,40.7773131,-73.9826028
70,11,40.7784886,-73.9854522
71,1,40.767119,-73.9564907
71,2,40.7681348,-73.9588894
71,3,40.769058,-73.9611034
71,4,40.7703805,-73.9642411
71,5,40.771767,-73.9675204
71,8,40.775533,-73.976458
71,10,40.7779356,-73.9821455
71,11,40.7791397,-73.9849899
72,1,40.7678011,-73.9559983
72,2,40.7687991,-73.958424
72,3,40.7697512,-73.9605925
72,4,40.7711473,-73.9639279
72,5,40.7724615,-73.9670436
72,8,40.77622,-73.975955
72,10,40.7786119,-73.9816265
72,11,40.7798176,-73.9844937
73,1,40.7684948,-73.9555015
73,2,40.7695009,-73.9578903
73,3,40.7704307,-73.9601096
73,4,40.7717443,-73.9632455
73,5,40.7731418,-73.9665367
73,8,40.776899,-73.975461
73,10,40.7793045,-73.9811289
73,11,40.7804889,-73.9840014
74,1,40.7691234,-73.9550456
74,2,40.7701235,-73.9574128
74,3,40.7710693,-73.9596604
74,4,40.7724646,-73.962965
74,5,40.7737704,-73.9660893
74,8,40.7775452,-73.9749901
74,10,40.779925,-73.980673
74,11,40.781126,-73.9835325
75,1,40.7697508,-73.9545896
75,2,40.7707563,-73.9569408
75,3,40.771694,-73.9591839
75,4,40.7730984,-73.9625037
75,5,40.7744093,-73.9656126
75,8,40.778168,-73.974532
75,10,40.7805368,-73.9802342
75,11,40.7817747,-73.983065
76,1,40.7703995,-73.9540911
76,2,40.7713941,-73.9564794
76,3,40.7723336,-73.9587231
76,4,40.7736568,-73.9618531
76,5,40.7750534,-73.9651341
76,8,40.778805,-73.974067
76,10,40.781195,-73.979748
76,11,40.7824171,-73.9826176
77,1,40.771021,-73.953641
77,2,40.7720279,-73.9560194
77,3,40.7729586,-73.9582543
77,4,40.774373,-73.9615689
77,5,40.7756746,-73.9646752
77,8,40.779478,-73.973571
77,10,40.781839,-73.979285
77,11,40.7830325,-73.9821454
78,1,40.771659,-73.9531798
78,2,40.7726606,-73.9555581
78,3,40.7735957,-73.9577825
78,4,40.7749325,-73.9609225
78,5,40.7763124,-73.9642204
78,10,40.782465,-73.978823
78,11,40.7836772,-73.9816815
79,1,40.772344,-73.9526821
79,2,40.773338,-73.9550579
79,3,40.7742903,-73.957344
79,4,40.775615,-73.9604223
79,5,40.7770246,-73.9637053
79,10,40.783147,-73.978326
79,11,40.7843785,-73.9811961
80,1,40.7730173,-73.9521792
80,2,40.7740246,-73.954563
80,3,40.7749697,-73.9567961
80,4,40.7762914,-73.9599288
80,5,40.7776774,-73.9632152
80,10,40.783831,-73.977827
80,11,40.7850461,-73.9806756
81,1,40.77366,-73.9517243
81,2,40.7746583,-73.954099
81,3,40.775601,-73.9563372
81,4,40.7770003,-73.9596525
81,5,40.7782731,-73.9627623
81,8,40.782032,-73.9717188
81,10,40.784479,-73.9773854
81,11,40.7856673,-73.9802249
82,1,40.7742982,-73.9512624
82,2,40.7752992,-73.9536403
82,3,40.77624,-73.9558731
82,4,40.7775649,-73.959002
82,5,40.7789422,-73.9623032
82,8,40.7827269,-73.9712606
82,10,40.7851075,-73.9769183
82,11,40.786299,-73.979752
83,1,40.774927,-73.9507894
83,2,40.7759156,-73.9532648
83,3,40.776868,-73.955408
