"uuid","identifier_value"
"8f539ba0-c532-012f-2554-58d385a7bc34","702720F"
"989094b0-c532-012f-cc82-58d385a7bc34","702743F"
"8f539ba0-c532-012f-2554-58d385a7bc34","702720B"
"8fa47c20-c532-012f-ea33-58d385a7bc34","702721B"
"9aa721b0-c532-012f-8eb9-58d385a7bc34","702748B"
"9006b490-c532-012f-a50c-58d385a7bc34","702722F"
"9b173940-c532-012f-f945-58d385a7bc34","702749F"
"9b173940-c532-012f-f945-58d385a7bc34","702749B"
"9006b490-c532-012f-a50c-58d385a7bc34","702722B"
"90bf6420-c532-012f-8742-58d385a7bc34","702724F"
"68d58120-c533-012f-7890-58d385a7bc34","703281B"
"90bf6420-c532-012f-8742-58d385a7bc34","702724B"
"69310800-c533-012f-0f34-58d385a7bc34","703282F"
"912799a0-c532-012f-4856-58d385a7bc34","702725F"
"69310800-c533-012f-0f34-58d385a7bc34","703282B"
"917b2000-c532-012f-3505-58d385a7bc34","707345B"
"6a15a310-c533-012f-b84b-58d385a7bc34","703284B"
"91e370a0-c532-012f-9395-58d385a7bc34","702726F"
"6a647350-c533-012f-59fc-58d385a7bc34","703285F"
"6a647350-c533-012f-59fc-58d385a7bc34","703285B"
"91e370a0-c532-012f-9395-58d385a7bc34","702726B"
"6acd1620-c533-012f-c4ef-58d385a7bc34","703286B"
"922ed090-c532-012f-fee1-58d385a7bc34","702727B"
"6b186270-c533-012f-5263-58d385a7bc34","703287B"
"928e1190-c532-012f-3e4d-58d385a7bc34","702728F"
"92eb2ea0-c532-012f-4c54-58d385a7bc34","702729F"
"93404380-c532-012f-a567-58d385a7bc34","702730F"
"6bc0eea0-c533-012f-1058-58d385a7bc34","703289B"
"93a10c60-c532-012f-5d87-58d385a7bc34","702731F"
"6c21b710-c533-012f-3a00-58d385a7bc34","703290F"
"93edb4f0-c532-012f-7817-58d385a7bc34","702732F"
"6c8a12e0-c533-012f-9134-58d385a7bc34","703291F"
"944eeb60-c532-012f-8260-58d385a7bc34","702733F"
"6cda0590-c533-012f-8a18-58d385a7bc34","703292F"
"944eeb60-c532-012f-8260-58d385a7bc34","702733B"
"6cda0590-c533-012f-8a18-58d385a7bc34","703292B"
"752cd410-c533-012f-0498-58d385a7bc34","703312B"
"6d428250-c533-012f-cac0-58d385a7bc34","703293F"
"6d8d6720-c533-012f-7579-58d385a7bc34","703294F"
"6df789d0-c533-012f-8f6d-58d385a7bc34","703295F"
"6df789d0-c533-012f-8f6d-58d385a7bc34","703295B"
